feature,target,actual,measured,result,rationale
question_count,question_count between 12 and 22,4,True,miss,ing's own current level (17.00)
word_count,"word_count between 1,837 and 3,412",717,True,miss,"ing's own current level (2,624.33)"
first_person_plural_count,first_person_plural_count between 12 and 23,46,True,miss,ing's own current level (17.67)
avg_sentence_length,avg_sentence_length between 14 and 26,13.53,True,miss,ing's own current level (20.31)
image_count,image_count between 26 and 48,37,True,hit,ing's own current level (36.67)
sentence_count,sentence_count between 93 and 173,53,True,miss,ing's own current level (133.00)
cta_above_fold,cta_above_fold = True,True,True,hit,AIDA 'action' - the next step must be visible without scrolling
disclaimer_present,disclaimer_present = True,True,True,hit,guardrail - a disclaimer placeholder is never omitted
